file,label,title,artist,license,source_url
01_wet.jpg,Wet,File:Heading to the grid (5826668600).jpg,ph-stop,CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:Heading_to_the_grid_(5826668600).jpg
02_wet.jpg,Wet,File:Lewis Hamilton leads 2012 Malaysian GP.jpg,Morio,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Lewis_Hamilton_leads_2012_Malaysian_GP.jpg
03_wet.jpg,Wet,File:Lotus 79 (3).jpg,Daniel Herrick LBIPP,CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:Lotus_79_(3).jpg
04_wet.jpg,Wet,File:Wet (4956843971).jpg,"Nic Redhead from Birmingham, UK",CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:Wet_(4956843971).jpg
05_wet.jpg,Wet,File:Jenson Button 2013 Catalonia test (19-22 Feb) Day 4.jpg,Morio,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Jenson_Button_2013_Catalonia_test_(19-22_Feb)_Day_4.jpg
06_damp.jpg,Damp,File:2009 Formula 1 Grand Prix of China - Shanghai Circuit (3480108190).jpg,Derrick Noh from NYC,CC BY 2.0,https://commons.wikimedia.org/wiki/File:2009_Formula_1_Grand_Prix_of_China_-_Shanghai_Circuit_(3480108190).jpg
07_damp.jpg,Damp,File:Japan 2007 GP Fuji 4.jpg,nh824,CC BY 2.0,https://commons.wikimedia.org/wiki/File:Japan_2007_GP_Fuji_4.jpg
08_damp.jpg,Damp,File:McLaren Honda No.22 Jenson Button (21806295070).jpg,"Takayuki Suzuki from Kanagawa, Japan",CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:McLaren_Honda_No.22_Jenson_Button_(21806295070).jpg
09_damp.jpg,Damp,File:Daniel Ricciardo 2012 Malaysia Qualify.jpg,Morio,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Daniel_Ricciardo_2012_Malaysia_Qualify.jpg
10_dry.jpg,Dry,File:Bianchi and McLaren at 1968 Dutch Grand Prix.jpg,"Evers, Joost / Anefo / neg. stroken, 1945-1989, 2.24.01.05, item number 921-4600",CC BY-SA 3.0 nl,https://commons.wikimedia.org/wiki/File:Bianchi_and_McLaren_at_1968_Dutch_Grand_Prix.jpg
11_dry.jpg,Dry,File:Circuit de Monaco - Virage de la Piscine (54783706926).jpg,crash71100,CC0,https://commons.wikimedia.org/wiki/File:Circuit_de_Monaco_-_Virage_de_la_Piscine_(54783706926).jpg
12_dry.jpg,Dry,File:Ickx at 1968 Dutch Grand Prix (3).jpg,"Evers, Joost / Anefo / neg. stroken, 1945-1989, 2.24.01.05, item number 921-4601",CC BY-SA 3.0 nl,https://commons.wikimedia.org/wiki/File:Ickx_at_1968_Dutch_Grand_Prix_(3).jpg
13_dry.jpg,Dry,File:Petrov China GP 2010.jpg,"Ilia Tsmykal from Blagoveschensk, Russia",CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:Petrov_China_GP_2010.jpg
