file,label,split,title,artist,license,license_url,source_url
test/Dry/38bcbbd42a2f1e7d.jpg,Dry,test,File:Circuit de Monaco - Descente vers Mirabeau (54776964920).jpg,crash71100,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,https://commons.wikimedia.org/wiki/File:Circuit_de_Monaco_-_Descente_vers_Mirabeau_(54776964920).jpg
test/Dry/f04cc77b2eb673f6.jpg,Dry,test,File:Daniel Ricciardo 2012 Malaysia FP1.jpg,Morio,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Daniel_Ricciardo_2012_Malaysia_FP1.jpg
test/Dry/1740e4fe98465783.jpg,Dry,test,File:Circuit de Monaco - Virage de Massenet (54762430112).jpg,crash71100,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,https://commons.wikimedia.org/wiki/File:Circuit_de_Monaco_-_Virage_de_Massenet_(54762430112).jpg
test/Dry/ec8240c33a5419eb.jpg,Dry,test,File:Circuit de Monaco - Virage de Massenet (54762429457).jpg,crash71100,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,https://commons.wikimedia.org/wiki/File:Circuit_de_Monaco_-_Virage_de_Massenet_(54762429457).jpg
test/Dry/b02b817e664fc4f9.jpg,Dry,test,File:McLaren mp4-26 Button 2011 Canadian GP.jpg,Sang Trinh,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,https://commons.wikimedia.org/wiki/File:McLaren_mp4-26_Button_2011_Canadian_GP.jpg
test/Dry/56374ef409b98c59.jpg,Dry,test,File:Circuit de Monaco - Pit Lane (54799950430).jpg,crash71100,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,https://commons.wikimedia.org/wiki/File:Circuit_de_Monaco_-_Pit_Lane_(54799950430).jpg
test/Dry/f6f8f5ae603a2630.jpg,Dry,test,File:2011 Canadian GP Friday 18.jpg,Mark McArdle from Canada,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,https://commons.wikimedia.org/wiki/File:2011_Canadian_GP_Friday_18.jpg
test/Dry/2c261f5ae32d17bc.jpg,Dry,test,File:Circuit de Monaco - Entrée de la pit lane (54784236109).jpg,crash71100,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,https://commons.wikimedia.org/wiki/File:Circuit_de_Monaco_-_Entr%C3%A9e_de_la_pit_lane_(54784236109).jpg
test/Dry/321471ae9035aef7.jpg,Dry,test,File:Circuit de Monaco - Tunnel (54776961819).jpg,crash71100,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,https://commons.wikimedia.org/wiki/File:Circuit_de_Monaco_-_Tunnel_(54776961819).jpg
test/Dry/e3ebd6d885e059b7.jpg,Dry,test,File:Robert Kubica 2008 Britain 2.jpg,ligreq,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,https://commons.wikimedia.org/wiki/File:Robert_Kubica_2008_Britain_2.jpg
test/Dry/7e6c6236d15363b6.jpg,Dry,test,File:Circuit de Monaco - Portier (54777045625).jpg,crash71100,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,https://commons.wikimedia.org/wiki/File:Circuit_de_Monaco_-_Portier_(54777045625).jpg
test/Dry/c438c397df8ca05a.jpg,Dry,test,File:Silverstone turn 2008.jpg,ligreq,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,https://commons.wikimedia.org/wiki/File:Silverstone_turn_2008.jpg
test/Dry/567b554b4885ab6d.jpg,Dry,test,File:Hamilton overtakes Kovi 2 (3017152754).jpg,Mark Kent,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,https://commons.wikimedia.org/wiki/File:Hamilton_overtakes_Kovi_2_(3017152754).jpg
test/Dry/0dc8ae05306e391b.jpg,Dry,test,File:Lewis Hamilton 2012 Malaysia FP1.jpg,Morio,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Lewis_Hamilton_2012_Malaysia_FP1.jpg
test/Dry/0b5ff154d07d7626.jpg,Dry,test,File:Petrov China GP 2010.jpg,"Ilia Tsmykal from Blagoveschensk, Russia",CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,https://commons.wikimedia.org/wiki/File:Petrov_China_GP_2010.jpg
